start_x,end_x,start_y,end_y,A,b,k,d
16,22,24,26,3.48893,2.28259,0.59433,0.46984
8,14,24,26,2.86993,2.60652,0.04898,0.95311
16,22,28,30,9.47424,2.55003,0.00333,1.0748
8,14,28,30,5.38176,2.80027,0.02367,0.37992
0,6,28,30,4.85292,2.39846,0.14773,0.62749
16,22,32,34,3.43245,2.5794,0.05108,1.05352
8,14,32,34,5.76876,2.52362,0.00104,0.5767
0,6,32,34,4.89368,3.8251,0.09002,0.81623
16,22,36,38,4.19012,2.68729,0.0532,0.81358
8,14,36,38,3.61614,2.11091,0.03359,0.18115
0,6,36,38,4.22998,1.87324,0.72253,0.1805
16,22,40,42,5.00561,2.59381,0.06981,0.7515
8,14,40,42,10.22507,2.6091,0.000204024,0.44191
0,6,40,42,4.10004,2.54662,0.24391,0.56465
0,5,21,23,8.10231,0.70403,0.00051972,0.11746
7,11,21,23,4.39834,2.65556,0.31536,0.47695
12,16,21,23,4.65687,2.61961,0.09542,0.34059
18,23,21,23,5.20713,0.43871,1.84786,0.2135
0,5,18,20,5.43812,1.96841,0.13303,0.26521
7,11,18,20,5.38176,2.80027,0.02367,0.37992
12,16,18,20,4.42378,3.06482,0.21498,0.55086
18,23,18,20,4.75562,3.29911,0.38391,1.14376
0,5,13,17,4.65352,2.89744,0.04293,0.54702
7,11,13,17,6.49195,2.54964,0.00454,0.44293
12,16,13,17,5.71669,0,0.16818,0.13283
18,23,13,17,3.77978,2.47046,0.34152,0.49367
0,5,7,11,5.25791,3.00127,0.14449,0.58703
7,11,7,11,4.19232,1.91793,0.45422,0.43525
12,16,7,11,4.56973,2.79259,0.03345,0.56817
18,23,7,11,7.19372,0,0.03732,0.15532
0,5,3,5,4.58904,2.30149,0.15925,0.5843
7,11,3,5,4.59057,2.84387,0.10036,0.79844
12,16,3,5,3.91487,1.4283,0.75369,0.20016
18,23,3,5,4.8337,2.95177,0.20034,1.31717
0,5,0,2,4.47938,2.49789,0.0709,0.53338
7,11,0,2,4.93103,2.6174,0.26818,0.6242
12,16,0,2,3.94929,2.66822,0.20682,0.74589
18,23,0,2,4.88288,1.60757,0.18194,0.26451
