block,start_x,end_x,start_y,end_y
1-1,16,22,24,26
1-2,8,14,24,26
2-1,16,22,28,30
2-2,8,14,28,30
2-3,0,6,28,30
3-1,16,22,32,34
3-2,8,14,32,34
3-3,0,6,32,34
4-1,16,22,36,38
4-2,8,14,36,38
4-3,0,6,36,38
5-1,16,22,40,42
5-2,8,14,40,42
5-3,0,6,40,42
0-11,0,5,21,23
0-21,7,11,21,23
0-31,12,16,21,23
0-41,18,23,21,23
0-12,0,5,18,20
0-22,7,11,18,20
0-32,12,16,18,20
0-42,18,23,18,20
0-13,0,5,13,17
0-23,7,11,13,17
0-33,12,16,13,17
0-43,18,23,13,17
0-14,0,5,7,11
0-24,7,11,7,11
0-34,12,16,7,11
0-44,18,23,7,11
0-15,0,5,3,5
0-25,7,11,3,5
0-35,12,16,3,5
0-45,18,23,3,5
0-16,0,5,0,2
0-26,7,11,0,2
0-36,12,16,0,2
0-46,18,23,0,2
